Wall time,Step,Value
1669479960.6518881,16384,-4.322886943817139
1669480698.6095831,32768,-3.4813148975372314
1669481431.2731514,49152,-3.2793076038360596
1669482166.6431384,65536,-3.6810364723205566
1669482900.8234901,81920,-1.8785563707351685
1669483633.4200172,98304,-1.7196906805038452
1669484377.7923212,114688,-2.2554643154144287
