Wall time,Step,Value
1669470390.1225016,4000,-3.2905373573303223
1669470565.0993037,8000,-1.0143706798553467
1669470731.4677243,12000,8.583085060119629
1669470902.33631,16000,9.197820663452148
1669471067.2371445,20000,13.858040809631348
1669471235.2615926,24000,19.569904327392578
1669471396.4756358,28000,21.41106414794922
1669471562.2119462,32000,22.478858947753906
1669471720.9308274,36000,28.048555374145508
1669471892.3361413,40000,26.168533325195312
1669472050.1943061,44000,29.903003692626953
1669472219.7048829,48000,32.22972869873047
1669472378.3324118,52000,32.59917068481445
1669472549.1371155,56000,28.961164474487305
1669472709.1046634,60000,26.331201553344727
1669472872.224541,64000,25.90106773376465
1669473029.3286026,68000,32.30554962158203
1669473191.1441393,72000,31.16571617126465
1669473349.1919768,76000,32.847103118896484
1669473511.137342,80000,32.387325286865234
1669473668.1813328,84000,35.10337829589844
1669473830.7788513,88000,31.15135955810547
1669473987.8030403,92000,42.20361328125
1669474150.1768787,96000,40.062992095947266
1669474305.60265,100000,43.103546142578125
