Wall time,Step,Value
1669395687.917563,4000,3.3011579513549805
1669395799.309886,8000,3.661036491394043
1669395907.6451683,12000,10.093052864074707
1669396019.8347182,16000,18.28415870666504
1669396123.223619,20000,28.936399459838867
1669396229.3850515,24000,43.59479522705078
1669396327.407425,28000,48.5876579284668
1669396432.0108428,32000,56.51039123535156
1669396529.9317565,36000,50.47172927856445
1669396638.4518692,40000,51.496849060058594
1669396735.291331,44000,66.83837890625
1669396845.446348,48000,69.08113098144531
1669396941.8605049,52000,65.5111312866211
1669397046.1438138,56000,59.475128173828125
1669397142.1422868,60000,71.06839752197266
1669397242.013144,64000,66.42888641357422
1669397337.9252968,68000,69.35861206054688
1669397442.0375013,72000,62.06385803222656
1669397538.18776,76000,64.54020690917969
1669397643.8204272,80000,51.406333923339844
1669397740.6244004,84000,66.74411010742188
1669397844.5587974,88000,60.788570404052734
1669397942.2495701,92000,54.490196228027344
1669398049.7570202,96000,72.24592590332031
1669398146.5281715,100000,69.02096557617188
